id,description,hierarchy_levels,type
7af90d6c-6f13-41f3-aca2-ef7d3e137f7c,ethnolinguistics,"[['K', 'K02', 'K023', 'K0232']]",altLabels
7af90d6c-6f13-41f3-aca2-ef7d3e137f7c,ethno-linguistics,"[['K', 'K02', 'K023', 'K0232']]",altLabels
7af90d6c-6f13-41f3-aca2-ef7d3e137f7c,Ethnolinguistics,"[['K', 'K02', 'K023', 'K0232']]",altLabels
7aff2d0c-790a-47e2-a1c3-206eb0fc74d9,health psychological positions,"[['K', 'K03', 'K031', 'K0313']]",altLabels
7aff2d0c-790a-47e2-a1c3-206eb0fc74d9,health psychological approaches,"[['K', 'K03', 'K031', 'K0313']]",altLabels
7aff2d0c-790a-47e2-a1c3-206eb0fc74d9,health psychology,"[['K', 'K03', 'K031', 'K0313']]",altLabels
7aff2d0c-790a-47e2-a1c3-206eb0fc74d9,health psychological assumptions,"[['K', 'K03', 'K031', 'K0313']]",altLabels
7aff2d0c-790a-47e2-a1c3-206eb0fc74d9,health psychological theories,"[['K', 'K03', 'K031', 'K0313']]",altLabels
7aff2d0c-790a-47e2-a1c3-206eb0fc74d9,health psychological arguments,"[['K', 'K03', 'K031', 'K0313']]",altLabels
7aff2d0c-790a-47e2-a1c3-206eb0fc74d9,"development, implementation and evaluation of health psychological concept","[['K', 'K03', 'K031', 'K0313']]",altLabels
7aff2d0c-790a-47e2-a1c3-206eb0fc74d9,health psychological methods,"[['K', 'K03', 'K031', 'K0313']]",altLabels
7aff2d0c-790a-47e2-a1c3-206eb0fc74d9,health psychological concepts,"[['K', 'K03', 'K031', 'K0313']]",altLabels
7b0abe5e-ac4d-4416-94b0-747ab497893f,principles of allergology,"[['K', 'K09', 'K091', 'K0912']]",altLabels
7b0abe5e-ac4d-4416-94b0-747ab497893f,allergology,"[['K', 'K09', 'K091', 'K0912']]",altLabels
7b0abe5e-ac4d-4416-94b0-747ab497893f,allergological studies,"[['K', 'K09', 'K091', 'K0912']]",altLabels
7b0abe5e-ac4d-4416-94b0-747ab497893f,allergies and hypersensitivity studies,"[['K', 'K09', 'K091', 'K0912']]",altLabels
7b0abe5e-ac4d-4416-94b0-747ab497893f,study of allergic diseases,"[['K', 'K09', 'K091', 'K0912']]",altLabels
7b0d5000-00da-4864-b776-6de49a87a669,tensorflow,"[['K', 'K06', 'K061', 'K0619']]",altLabels
7b0d5000-00da-4864-b776-6de49a87a669,openCV,"[['K', 'K06', 'K061', 'K0619']]",altLabels
7b0d5000-00da-4864-b776-6de49a87a669,OCR,"[['K', 'K06', 'K061', 'K0619']]",altLabels
7b0d5000-00da-4864-b776-6de49a87a669,cuda,"[['K', 'K06', 'K061', 'K0619']]",altLabels
7b0d5000-00da-4864-b776-6de49a87a669,keras,"[['K', 'K06', 'K061', 'K0619']]",altLabels
7b0d5000-00da-4864-b776-6de49a87a669,matlab,"[['K', 'K06', 'K061', 'K0619']]",altLabels
7b0d5000-00da-4864-b776-6de49a87a669,simpleCV,"[['K', 'K06', 'K061', 'K0619']]",altLabels
7b0fb3d0-20a2-41a5-805a-b67a7dd98691,betting laws,"[['K', 'K04', 'K042', 'K0421']]",altLabels
7b0fb3d0-20a2-41a5-805a-b67a7dd98691,betting legislation,"[['K', 'K04', 'K042', 'K0421']]",altLabels
7b0fb3d0-20a2-41a5-805a-b67a7dd98691,wagering legislation,"[['K', 'K04', 'K042', 'K0421']]",altLabels
7b0fb3d0-20a2-41a5-805a-b67a7dd98691,gambling legislation,"[['K', 'K04', 'K042', 'K0421']]",altLabels
7b0fb3d0-20a2-41a5-805a-b67a7dd98691,gambling laws,"[['K', 'K04', 'K042', 'K0421']]",altLabels
7b1ab171-caed-4561-89e4-b214396b1ae8,pharmaceutical technology,"[['K', 'K09', 'K091', 'K0916']]",altLabels
7b1ab171-caed-4561-89e4-b214396b1ae8,technological pharmaceutics,"[['K', 'K09', 'K091', 'K0916']]",altLabels
7b1ab171-caed-4561-89e4-b214396b1ae8,technology in pharmaceutics,"[['K', 'K09', 'K091', 'K0916']]",altLabels
7b1ab171-caed-4561-89e4-b214396b1ae8,pharmaceutical engineering,"[['K', 'K09', 'K091', 'K0916']]",altLabels
7b2ebf06-c789-434e-b274-7f159a1a4ea3,load capacity of machinery,"[['K', 'K07', 'K071', 'K0711']]",altLabels
7b2ebf06-c789-434e-b274-7f159a1a4ea3,machinery maximum load,"[['K', 'K07', 'K071', 'K0711']]",altLabels
7b2ebf06-c789-434e-b274-7f159a1a4ea3,machinery load capacity,"[['K', 'K07', 'K071', 'K0711']]",altLabels
7b2ebf06-c789-434e-b274-7f159a1a4ea3,maximum load capacity of machinery,"[['K', 'K07', 'K071', 'K0711']]",altLabels
7b2ebf06-c789-434e-b274-7f159a1a4ea3,"active load capacity, operating load capacity","[['K', 'K07', 'K071', 'K0711']]",altLabels
7b2ebf06-c789-434e-b274-7f159a1a4ea3,passive load capacity,"[['K', 'K07', 'K071', 'K0711']]",altLabels
7b2ebf06-c789-434e-b274-7f159a1a4ea3,machinery maximum loads,"[['K', 'K07', 'K071', 'K0711']]",altLabels
7b34134b-eb4c-40da-98a0-98b6190aa93b,common children's sicknesses,"[['K', 'K09', 'K091', 'K0912']]",altLabels
7b34134b-eb4c-40da-98a0-98b6190aa93b,common children's illnesses,"[['K', 'K09', 'K091', 'K0912']]",altLabels
7b34134b-eb4c-40da-98a0-98b6190aa93b,common children's disease,"[['K', 'K09', 'K091', 'K0912']]",altLabels
7b34134b-eb4c-40da-98a0-98b6190aa93b,common children's diseases,"[['K', 'K09', 'K091', 'K0912']]",altLabels
7b34134b-eb4c-40da-98a0-98b6190aa93b,common children's infections,"[['K', 'K09', 'K091', 'K0912']]",altLabels
7b5cb897-2ee8-450c-85a6-d73925cbd1dc,GameSalad,"[['K', 'K02', 'K021', 'K0211']]",altLabels
7b5cce4d-c7fe-4119-b48f-70aa05391787,computer science,"[['K', 'K06', 'K061', 'K0613']]",altLabels
7b5cce4d-c7fe-4119-b48f-70aa05391787,informatics studies,"[['K', 'K06', 'K061', 'K0613']]",altLabels
7b5cce4d-c7fe-4119-b48f-70aa05391787,informatics,"[['K', 'K06', 'K061', 'K0613']]",altLabels
7b663720-0834-4291-bad3-96b4e48f80a1,oxidation,"[['K', 'K05', 'K053', 'K0531']]",altLabels
7b663720-0834-4291-bad3-96b4e48f80a1,process of oxidation,"[['K', 'K05', 'K053', 'K0531']]",altLabels
7b663720-0834-4291-bad3-96b4e48f80a1,oxidation processes,"[['K', 'K05', 'K053', 'K0531']]",altLabels
7b663720-0834-4291-bad3-96b4e48f80a1,oxidation process,"[['K', 'K05', 'K053', 'K0531']]",altLabels
7b663720-0834-4291-bad3-96b4e48f80a1,reduction processes,"[['K', 'K05', 'K053', 'K0531']]",altLabels
7b663720-0834-4291-bad3-96b4e48f80a1,process of reduction,"[['K', 'K05', 'K053', 'K0531']]",altLabels
7b663720-0834-4291-bad3-96b4e48f80a1,processes of reduction,"[['K', 'K05', 'K053', 'K0531']]",altLabels
7b663720-0834-4291-bad3-96b4e48f80a1,reduction process,"[['K', 'K05', 'K053', 'K0531']]",altLabels
7b663720-0834-4291-bad3-96b4e48f80a1,processes of oxidation,"[['K', 'K05', 'K053', 'K0531']]",altLabels
7b6fd3d6-c7b7-4d99-a8ba-967ce8ca7392,lacquer spray gun items,"[['K', 'K07', 'K071', 'K0715']]",altLabels
7b6fd3d6-c7b7-4d99-a8ba-967ce8ca7392,lacquer spray gun parts,"[['K', 'K07', 'K071', 'K0715']]",altLabels
7b6fd3d6-c7b7-4d99-a8ba-967ce8ca7392,lacquer spray gun units,"[['K', 'K07', 'K071', 'K0715']]",altLabels
7b6fd3d6-c7b7-4d99-a8ba-967ce8ca7392,coating air brush units,"[['K', 'K07', 'K071', 'K0715']]",altLabels
7b6fd3d6-c7b7-4d99-a8ba-967ce8ca7392,coating air brush items,"[['K', 'K07', 'K071', 'K0715']]",altLabels
7b6fd3d6-c7b7-4d99-a8ba-967ce8ca7392,lacquer spray gun components,"[['K', 'K07', 'K071', 'K0715']]",altLabels
7b6fd3d6-c7b7-4d99-a8ba-967ce8ca7392,coating air brush components,"[['K', 'K07', 'K071', 'K0715']]",altLabels
7b6fd3d6-c7b7-4d99-a8ba-967ce8ca7392,coating air brush elements,"[['K', 'K07', 'K071', 'K0715']]",altLabels
7b6fd3d6-c7b7-4d99-a8ba-967ce8ca7392,lacquer spray gun elements,"[['K', 'K07', 'K071', 'K0715']]",altLabels
7b85473a-d609-4da4-92b7-a66cfaa86302,undifferentiated biological cells,"[['K', 'K05', 'K051', 'K0511']]",altLabels
7b85473a-d609-4da4-92b7-a66cfaa86302,embryonic stem cells,"[['K', 'K05', 'K051', 'K0511']]",altLabels
7b85473a-d609-4da4-92b7-a66cfaa86302,development of stem cells,"[['K', 'K05', 'K051', 'K0511']]",altLabels
7b85473a-d609-4da4-92b7-a66cfaa86302,stem cell,"[['K', 'K05', 'K051', 'K0511']]",altLabels
7b85473a-d609-4da4-92b7-a66cfaa86302,adult stem cells,"[['K', 'K05', 'K051', 'K0511']]",altLabels
7b85473a-d609-4da4-92b7-a66cfaa86302,stem cells,"[['K', 'K05', 'K051', 'K0511']]",altLabels
7b8e3008-ce46-485b-be6c-131414c73000,colour variations of roasting,"[['K', 'K07', 'K072', 'K0721']]",altLabels
7b8e3008-ce46-485b-be6c-131414c73000,colour changes of roasting,"[['K', 'K07', 'K072', 'K0721']]",altLabels
7b8e3008-ce46-485b-be6c-131414c73000,the colour range of roasting,"[['K', 'K07', 'K072', 'K0721']]",altLabels
7b8e3008-ce46-485b-be6c-131414c73000,colour alternative of roasting,"[['K', 'K07', 'K072', 'K0721']]",altLabels
7b8e3008-ce46-485b-be6c-131414c73000,colouring ranges of roasting,"[['K', 'K07', 'K072', 'K0721']]",altLabels
7b8e3008-ce46-485b-be6c-131414c73000,colour range of roasting,"[['K', 'K07', 'K072', 'K0721']]",altLabels
7b8e3008-ce46-485b-be6c-131414c73000,color  ranges of roasting,"[['K', 'K07', 'K072', 'K0721']]",altLabels
7b8e3008-ce46-485b-be6c-131414c73000,colour varieties of roasting,"[['K', 'K07', 'K072', 'K0721']]",altLabels
7b969ac9-f085-4afb-a480-c5210fb4da7d,powdering machines,"[['K', 'K07', 'K071', 'K0712']]",altLabels
7b969ac9-f085-4afb-a480-c5210fb4da7d,milling machines,"[['K', 'K07', 'K071', 'K0712']]",altLabels
7b969ac9-f085-4afb-a480-c5210fb4da7d,mill machines,"[['K', 'K07', 'K071', 'K0712']]",altLabels
7b969ac9-f085-4afb-a480-c5210fb4da7d,mill machine,"[['K', 'K07', 'K071', 'K0712']]",altLabels
7b969ac9-f085-4afb-a480-c5210fb4da7d,granulating machines,"[['K', 'K07', 'K071', 'K0712']]",altLabels
7b969ac9-f085-4afb-a480-c5210fb4da7d,pressing machines,"[['K', 'K07', 'K071', 'K0712']]",altLabels
7b969ac9-f085-4afb-a480-c5210fb4da7d,farming machines,"[['K', 'K07', 'K071', 'K0712']]",altLabels
7ba2ce03-ac36-4cf5-9383-e665ed0d86c3,activities for recreation,"[['K', 'K10', 'K101', 'K1015']]",altLabels
